Usuario;Lugar;Entrada/Salida;Fecha;"Distancia del lugar"
test;"test 2";entrada;"2014-09-15 10:58:31";0.02Kms
test;"clase A";entrada;"2014-08-27 12:34:41";15.21Kms
test;"clase B";entrada;"2014-08-27 12:34:22";15.2Kms
test;"clase A";entrada;"2014-08-26 15:17:45";15.21Kms
test;"Clase C";entrada;"2014-08-26 15:17:02";0.02Kms
test;"clase A";entrada;"2014-08-26 15:12:05";15.21Kms
test;"clase B";entrada;"2014-08-26 15:11:49";15.2Kms
test;"clase A";entrada;"2014-08-25 11:26:51";15.21Kms
test;"clase A";entrada;"2014-08-22 15:51:30";15.21Kms
test;"clase A";entrada;"2014-08-13 14:53:47";15.21Kms
test;"clase B";entrada;"2014-08-13 14:53:34";15.2Kms
test;"clase A";entrada;"2014-08-07 15:29:15";15.21Kms
test;"clase A";entrada;"2014-08-07 15:01:38";15.21Kms
test;"clase B";entrada;"2014-08-07 15:00:16";15.2Kms
test;"clase A";Salida;"2014-08-07 14:59:01";15.21Kms
test;"clase B";entrada;"2014-08-06 11:18:58";15.2Kms
test;"clase A";entrada;"2014-08-06 11:18:11";15.21Kms
test;"clase B";entrada;"2014-08-06 11:17:34";15.2Kms
test;"clase A";Salida;"2014-08-05 15:34:01";15.21Kms
test;"clase A";entrada;"2014-08-05 15:30:56";15.21Kms
test;"clase B";entrada;"2014-08-05 15:21:08";15.2Kms
test;"clase A";entrada;"2014-08-05 15:10:54";15.21Kms
test;"clase A";entrada;"1970-01-01 00:00:00";15.21Kms
test;"clase A";entrada;"1970-01-01 00:00:00";15.21Kms
